"Division";"N° de match";"Equipe 1";"Equipe 2";"Date de rencontre";"Heure";"Salle";"Score 1";"Forfait 1";"Score 2";"Forfait 2";"Etat de la dérogation";
"U13M-1Ph";"19397";"BASKET CLUB BASSE LOIRE - 1";"ASPTT NANTES - 1";"10/10/2015";"00:00";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"U13M-1Ph";"19407";"BASKET CLUB BASSE LOIRE - 1";"Exempt";"14/11/2015";"00:00";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"U13M-1Ph";"19415";"CHABOSSIERE OCB - 1";"BASKET CLUB BASSE LOIRE - 1";"28/11/2015";"00:00";"GYMNASE PIERRE MOISAN";"";"false";"";"false";
"U13M-1Ph";"19418";"BASKET CLUB BASSE LOIRE - 1";"REZE BASKET 44 - 2";"05/12/2015";"00:00";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"U09MC-1Ph";"21103";"AS BRAINS BASKET";"BASKET CLUB BASSE LOIRE";"21/11/2015";"00:00";"SALLE POLYVALENTE DES PRS";"";"false";"";"false";
"U09MC-1Ph";"21107";"USSM ST PHILBERT DE GD LIEU";"BASKET CLUB BASSE LOIRE";"28/11/2015";"00:00";"SALLE TOKYO";"";"false";"";"false";
"U11F-1Ph";"14024";"NOZAY OMNISPORT";"BASKET CLUB BASSE LOIRE";"05/12/2015";"00:00";"SALLE DE LA CHESNAIE";"";"false";"";"false";
"U11F-1Ph";"14131";"ETOILE ARTHONNAISE - 1";"BASKET CLUB BASSE LOIRE";"21/11/2015";"00:00";"COMPLEXE SPORTIF DES CHAUMES";"";"false";"";"false";
"U11F-1Ph";"14135";"USSM ST PHILBERT DE GD LIEU - 1";"BASKET CLUB BASSE LOIRE";"28/11/2015";"00:00";"SALLE TOKYO";"";"false";"";"false";
"U13M-1Ph";"19125";"EN - CTC SILLON BASKET";"EN - CTC LOIRE ACHENEAU BASKET - 1";"14/11/2015";"00:00";"Salle de sport";"";"false";"";"false";
"U13M-1Ph";"19136";"SPORTING CLUB ORVAULT - 2";"EN - CTC LOIRE ACHENEAU BASKET - 1";"05/12/2015";"00:00";"SALLE DE LA FERRIERE";"";"false";"";"false";
"U17M-1Ph";"17114";"AL ST SEBASTIEN SUR LOIRE - 2";"EN - CTC LOIRE ACHENEAU BASKET - 2";"03/10/2015";"00:00";"GYMNASE DU DOUET";"";"false";"";"false";
"DF3";"842";"PORNIC BASKET ST MICHEL";"BASKET CLUB BASSE LOIRE - 2";"27/09/2015";"15:30";"SALLE OMNISPORTS PACIFIQUE";"42";"false";"66";"false";
"DF3";"857";"BASKET CLUB BASSE LOIRE - 2";"PAZENNAIS BASKET CLUB - 2";"08/11/2015";"17:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"DF3";"873";"BASKET CLUB BASSE LOIRE - 2";"AS HEULINOISE BASKET BALL";"22/11/2015";"13:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"DF3";"883";"AL OUCHE DINIER REZE";"BASKET CLUB BASSE LOIRE - 2";"06/12/2015";"14:00";"GYMNASE ANDREE PERRICHON";"";"false";"";"false";
"DF3";"891";"GARS D'HERBAUGES BOUAYE - 3";"BASKET CLUB BASSE LOIRE - 2";"13/12/2015";"13:15";"SALLE D'HERBAUGES";"";"false";"";"false";
"DF3";"847";"BASKET CLUB BASSE LOIRE - 2";"ETOILE ARTHONNAISE";"03/10/2015";"20:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"DF3";"878";"BASKET CLUB BASSE LOIRE - 2";"US PONT SAINT MARTIN BASKET - 2";"29/11/2015";"17:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"DM4";"2868";"BASKET CLUB BASSE LOIRE - 2";"CS AIGREFEUILLE REMOUILLE BASKET - 2";"04/10/2015";"17:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"DM4";"2878";"BASKET CLUB BASSE LOIRE - 2";"BASKET SUD LOIRE - 2";"08/11/2015";"13:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
"DM4";"2888";"BASKET CLUB BASSE LOIRE - 2";"ROUANS BASKET CLUB";"22/11/2015";"17:30";"SALLE OMNISPORTS B - Y. SOUVRE";"";"false";"";"false";
